 3.0 ,3.0    ,3.0    ,3.0    ,3.0   ,3.0      ,3.0      ,3.0    ,3.0    ,3.0   ,3.0   ,3.0    ,3.0   ,3.0      ,3.0    ,3.0    ,3.0    ,3.0
 0.0 ,0.0    ,1.0    ,2.0    ,36.0  ,24.0     ,0.0      ,0.0    ,0.0    ,nan   ,nan   ,nan    ,nan   ,nan      ,nan    ,nan    ,nan    ,nan
 1.0 ,0.0    ,1.0    ,2.0    ,-18.0 ,-24.0    ,-20.0    ,1.0    ,1.0    ,-6.0  ,4.0   ,5.0    ,9.0   ,-20.0    ,3.293  ,3.293  ,3.293  ,39.265107804433654
 2.0 ,1.0    ,2.0    ,3.293  ,-24.0 ,-20.0    ,9.759    ,1.0    ,1.293  ,4.0   ,23.02 ,8.295  ,33.75 ,9.759    ,2.98   ,2.98   ,2.98   ,10.503355704698002
 3.0 ,2.0    ,3.293  ,2.98   ,-20.0 ,9.759    ,-0.5956  ,1.293  ,-0.313 ,23.02 ,33.08 ,10.27  ,29.87 ,-0.5956  ,3.0    ,3.0    ,3.0    ,0.666666666666671
 4.0 ,3.293  ,2.98   ,3.0    ,9.759 ,-0.5956  ,0.0      ,1.293  ,-0.313 ,nan   ,nan   ,nan    ,nan   ,nan      ,nan    ,nan    ,nan    ,nan
 5.0 ,3.293  ,2.98   ,3.0    ,33.31 ,29.78    ,30.0     ,-0.313 ,0.02   ,11.28 ,11.0  ,0.9556 ,11.02 ,30.0     ,-1.405 ,-1.405 ,-1.405 ,313.52313167259786
 6.0 ,2.98   ,3.0    ,-1.405 ,29.78 ,30.0     ,0.949    ,0.02   ,-4.405 ,11.0  ,6.595 ,1.005  ,2.168 ,0.949    ,-2.016 ,-2.016 ,-2.016 ,30.307539682539687
 7.0 ,3.0    ,-1.405 ,-2.016 ,30.0  ,0.949    ,-0.01574 ,-4.405 ,-0.611 ,6.595 ,1.579 ,1.0    ,0.968 ,-0.01574 ,-2.0   ,-2.0   ,-2.0   ,0.8000000000000007
 8.0 ,-1.405 ,-2.016 ,-2.0   ,0.949 ,-0.01574 ,0.0      ,-4.405 ,-0.611 ,nan   ,nan   ,nan    ,nan   ,nan      ,nan    ,nan    ,nan    ,nan
 9.0 ,-1.405 ,-2.016 ,-2.0   ,1.595 ,0.984    ,1.0      ,-0.611 ,0.016  ,1.0   ,1.0   ,0.0    ,1.0   ,1.0      ,-3.0   ,-3.0   ,-3.0   ,33.333333333333336
10.0 ,-2.016 ,-2.0   ,-3.0   ,0.984 ,1.0      ,0.0      ,-0.611 ,0.016  ,nan   ,nan   ,nan    ,nan   ,nan      ,nan    ,nan    ,nan    ,nan
